Transaction_ID,Customer_ID,Transaction_DateTime,Transaction_Type,Amount_NGN,Channel,Device_Type,Location,International_Transaction,Transaction_Status,Risk_Review_Flag
FT-T000038,FT-C00314,1/1/26 6:39,Bill Payment,932.79,Mobile App,Android,Abuja,No,Successful,No
FT-T000039,FT-C00816,1/1/26 6:50,Deposit,286497.33,Web,Android,Ibadan,No,Successful,No
FT-T000040,FT-C00743,1/1/26 7:01,Card Purchase,31005.88,Mobile App,Android,Abuja,No,Reversed,No
FT-T000041,FT-C00727,1/1/26 7:12,Card Purchase,2668.67,Web,Android,Port Harcourt,No,Successful,No
FT-T000042,FT-C00826,1/1/26 7:22,Airtime/Data,877.13,POS,iOS,Ibadan,No,Successful,No
FT-T000043,FT-C01125,1/1/26 7:33,Airtime/Data,19057.91,Web,Android,Enugu,No,Successful,No
FT-T000044,FT-C00569,1/1/26 7:44,Card Purchase,113261.84,Mobile App,Android,Kano,No,Successful,No
FT-T000045,FT-C01239,1/1/26 7:55,Bill Payment,12166.62,POS,iOS,Enugu,No,Successful,No
FT-T000046,FT-C00576,1/1/26 8:06,Transfer,7959.25,Mobile App,iOS,Lagos,No,Successful,No
FT-T000047,FT-C00062,1/1/26 8:16,Transfer,717.74,Web,Android,Ibadan,No,Successful,No
FT-T000048,FT-C00369,1/1/26 8:27,Bill Payment,977.69,USSD,Android,Kaduna,No,Successful,No
FT-T000049,FT-C01392,1/1/26 8:38,Card Purchase,743.07,USSD,Android,Abuja,No,Successful,No
FT-T000050,FT-C00094,1/1/26 8:49,Transfer,3286.35,Mobile App,POS Terminal,Benin City,No,Successful,Yes
FT-T000051,FT-C01493,1/1/26 9:00,Bill Payment,1951.68,Web,iOS,Abuja,No,Successful,No
FT-T000052,FT-C00984,1/1/26 9:10,Airtime/Data,2918.91,Mobile App,POS Terminal,Ibadan,No,Successful,No
FT-T000053,FT-C01050,1/1/26 9:21,Airtime/Data,35326.23,Mobile App,Android,Benin City,No,Successful,No
FT-T000054,FT-C01459,1/1/26 9:32,Cash Withdrawal,116469.29,ATM,iOS,Kano,No,Successful,No
FT-T000055,FT-C01145,1/1/26 9:43,Card Purchase,7792.07,Web,iOS,Kaduna,No,Successful,No
FT-T000056,FT-C00050,1/1/26 9:54,Transfer,562.44,POS,Android,Kano,Yes,Successful,No
FT-T000057,FT-C00883,1/1/26 10:04,Deposit,1565.31,Mobile App,Unspecified,Ibadan,No,Successful,No
FT-T000058,FT-C00764,1/1/26 10:15,Airtime/Data,20992.36,POS,iOS,Abuja,No,Successful,No
FT-T000059,FT-C00036,1/1/26 10:26,Deposit,6411.43,Web,iOS,Enugu,No,Failed,No
FT-T000060,FT-C01434,1/1/26 10:37,Bill Payment,2697.15,ATM,Android,Abuja,No,Successful,No
FT-T000061,FT-C01313,1/1/26 10:48,Transfer,1293.92,ATM,Android,Kano,Yes,Successful,No
FT-T000062,FT-C01403,1/1/26 10:58,Card Purchase,1250.16,USSD,iOS,Enugu,No,Successful,No
FT-T000063,FT-C00100,1/1/26 11:09,Card Purchase,1458.3,USSD,POS Terminal,Benin City,No,Successful,No
FT-T000064,FT-C01348,1/1/26 11:20,Deposit,14874.63,ATM,iOS,Kaduna,No,Successful,No
FT-T000065,FT-C00329,1/1/26 11:31,Transfer,34665.14,ATM,iOS,Kaduna,No,Successful,No
FT-T000066,FT-C00706,1/1/26 11:42,Card Purchase,2872.38,ATM,Android,Abuja,No,Successful,No
FT-T000067,FT-C00221,1/1/26 11:52,Transfer,10665.35,Mobile App,POS Terminal,Lagos,No,Successful,No
FT-T000068,FT-C00567,1/1/26 12:03,Cash Withdrawal,2730.14,Mobile App,Web Browser,Lagos,No,Successful,No
FT-T000069,FT-C00996,1/1/26 12:14,Deposit,1446.89,Mobile App,POS Terminal,Kaduna,No,Successful,No
FT-T000070,FT-C01022,1/1/26 12:25,Cash Withdrawal,6840.05,ATM,Android,Lagos,No,Successful,No
FT-T000071,FT-C00110,1/1/26 12:36,Deposit,1505.89,Mobile App,Android,Lagos,No,Successful,No
FT-T000072,FT-C00149,1/1/26 12:46,Cash Withdrawal,5232.52,Web,Android,Enugu,No,Successful,No
FT-T000073,FT-C00406,1/1/26 12:57,Transfer,149087.06,Mobile App,Android,Port Harcourt,No,Successful,No
FT-T000074,FT-C00699,1/1/26 13:08,Card Purchase,3136.97,Web,Android,Lagos,No,Successful,No
FT-T000075,FT-C01017,1/1/26 13:19,Airtime/Data,332.36,POS,iOS,Kaduna,No,Successful,No
FT-T000076,FT-C01434,1/1/26 13:30,Transfer,231151.27,Mobile App,iOS,Port Harcourt,No,Successful,Yes
FT-T000077,FT-C01153,1/1/26 13:40,Transfer,38704.64,POS,Android,Abuja,No,Successful,Yes
FT-T000078,FT-C00108,1/1/26 13:51,Card Purchase,166968.38,ATM,POS Terminal,Enugu,No,Successful,No
FT-T000079,FT-C00389,1/1/26 14:02,Card Purchase,2047.69,Mobile App,Android,Benin City,No,Successful,No
FT-T000080,FT-C00425,1/1/26 14:13,Card Purchase,1080.88,POS,Android,Kano,No,Successful,No
FT-T000081,FT-C00447,1/1/26 14:24,Cash Withdrawal,5181.35,Web,Android,Benin City,No,Successful,No
FT-T000082,FT-C00918,1/1/26 14:34,Airtime/Data,15591.67,Web,iOS,Lagos,No,Successful,No
FT-T000083,FT-C01092,1/1/26 14:45,Bill Payment,1115.94,Web,Android,Kaduna,No,Successful,No
FT-T000084,FT-C01090,1/1/26 14:56,Transfer,2577.35,USSD,ATM Terminal,Lagos,No,Failed,No
FT-T000085,FT-C00656,1/1/26 15:07,Bill Payment,20580.15,USSD,Web Browser,Lagos,No,Successful,No
FT-T000086,FT-C00321,1/1/26 15:18,Deposit,125800.85,POS,iOS,Enugu,No,Successful,Yes
FT-T000087,FT-C00719,1/1/26 15:28,Deposit,534561.42,POS,iOS,Benin City,No,Successful,No
FT-T000088,FT-C00728,1/1/26 15:39,Card Purchase,158537.08,Mobile App,iOS,Kaduna,No,Successful,No
FT-T000089,FT-C00580,1/1/26 15:50,Card Purchase,20917.56,Mobile App,Web Browser,Unkown,No,Successful,No
FT-T000090,FT-C00447,1/1/26 16:01,Deposit,10769.27,POS,POS Terminal,Lagos,No,Successful,No
FT-T000091,FT-C00210,1/1/26 16:12,Bill Payment,5512.76,POS,iOS,Port Harcourt,No,Successful,No
FT-T000092,FT-C00849,1/1/26 16:22,Card Purchase,4982.8,Web,iOS,Lagos,No,Reversed,No
FT-T000093,FT-C00370,1/1/26 16:33,Transfer,6972.34,POS,iOS,Benin City,No,Successful,No
FT-T000094,FT-C01482,1/1/26 16:44,Cash Withdrawal,6472.79,Mobile App,POS Terminal,Kano,No,Successful,No
FT-T000095,FT-C00577,1/1/26 16:55,Transfer,1566.71,ATM,iOS,Lagos,No,Successful,Yes
FT-T000096,FT-C00689,1/1/26 17:06,Transfer,6035.21,Web,POS Terminal,Port Harcourt,No,Successful,Yes
FT-T000097,FT-C00790,1/1/26 17:16,Card Purchase,147838.67,Web,iOS,Kano,No,Successful,No
FT-T000098,FT-C00992,1/1/26 17:27,Card Purchase,84700.31,ATM,Web Browser,Abuja,No,Successful,Yes
FT-T000099,FT-C00163,1/1/26 17:38,Card Purchase,15564.96,USSD,Web Browser,Kaduna,No,Successful,No
FT-T000100,FT-C00977,1/1/26 17:49,Card Purchase,1029.83,Mobile App,iOS,Abuja,No,Successful,No
FT-T000101,FT-C01356,1/1/26 18:00,Transfer,197132.73,POS,Android,Kano,No,Successful,Yes
FT-T000102,FT-C00350,1/1/26 18:10,Transfer,4171.55,ATM,iOS,Abuja,No,Successful,No
FT-T000103,FT-C00670,1/1/26 18:21,Transfer,20471.24,ATM,POS Terminal,Kano,No,Successful,No
FT-T000104,FT-C01492,1/1/26 18:32,Card Purchase,102382.35,Mobile App,Web Browser,Lagos,No,Successful,Yes
FT-T000105,FT-C00426,1/1/26 18:43,Transfer,4872.21,USSD,POS Terminal,Abuja,No,Successful,No
FT-T000106,FT-C00327,1/1/26 18:54,Transfer,249577.79,Web,Android,Enugu,No,Successful,No
FT-T000107,FT-C01130,1/1/26 19:04,Card Purchase,1350.03,Mobile App,iOS,Ibadan,No,Successful,No
FT-T000108,FT-C00255,1/1/26 19:15,Transfer,277066.61,ATM,Web Browser,Ibadan,No,Successful,Yes
FT-T000109,FT-C00358,1/1/26 19:26,Transfer,5735.28,Mobile App,Android,Kano,No,Pending,No
FT-T000110,FT-C00444,1/1/26 19:37,Deposit,11635.29,Mobile App,Android,Enugu,No,Failed,No
FT-T000111,FT-C00113,1/1/26 19:48,Card Purchase,10314.8,Mobile App,Web Browser,Enugu,No,Reversed,No
FT-T000112,FT-C01054,1/1/26 19:58,Deposit,9712.35,Web,Web Browser,Ibadan,No,Successful,No
FT-T000113,FT-C00524,1/1/26 20:09,Card Purchase,5336.3,Mobile App,iOS,Kano,No,Successful,No
FT-T000114,FT-C00689,1/1/26 20:20,Airtime/Data,2254.54,Mobile App,Android,Abuja,No,Failed,No
FT-T000115,FT-C00991,1/1/26 20:31,Transfer,14111.1,POS,iOS,Kano,No,Successful,No
FT-T000116,FT-C00046,1/1/26 20:42,Cash Withdrawal,201689.28,Web,Web Browser,Kaduna,No,Successful,No
FT-T000117,FT-C01195,1/1/26 20:52,Card Purchase,1819.58,Web,Android,Benin City,No,Successful,No
FT-T000118,FT-C01154,1/1/26 21:03,Airtime/Data,586.24,POS,Android,Kano,No,Reversed,No
FT-T000119,FT-C00757,1/1/26 21:14,Card Purchase,63825.53,Web,iOS,Enugu,Yes,Successful,No
FT-T000120,FT-C01377,1/1/26 21:25,Deposit,13040.78,ATM,iOS,Lagos,No,Successful,No
FT-T000121,FT-C01227,1/1/26 21:36,Cash Withdrawal,1498.04,Mobile App,Android,Benin City,No,Successful,Yes
FT-T000122,FT-C01250,1/1/26 21:46,Bill Payment,6402.5,Web,iOS,Abuja,No,Successful,No
FT-T000123,FT-C01104,1/1/26 21:57,Deposit,36766.75,ATM,iOS,Kano,No,Successful,No
FT-T000124,FT-C01334,1/1/26 22:08,Airtime/Data,4646.59,Mobile App,POS Terminal,Kaduna,No,Successful,No
FT-T000125,FT-C01059,1/1/26 22:19,Bill Payment,1737.51,ATM,ATM Terminal,Unkown,No,Successful,No
FT-T000126,FT-C00564,1/1/26 22:30,Card Purchase,151699.16,Web,ATM Terminal,Ibadan,No,Successful,No
FT-T000127,FT-C00161,1/1/26 22:40,Transfer,75214.35,Web,Android,Kano,No,Successful,No
FT-T000128,FT-C00840,1/1/26 22:51,Card Purchase,30045.61,ATM,iOS,Ibadan,No,Successful,No
FT-T000129,FT-C01459,1/1/26 23:02,Transfer,189516.46,Mobile App,Android,Enugu,No,Successful,No
FT-T000130,FT-C00538,1/1/26 23:13,Transfer,597.25,ATM,Android,Lagos,Yes,Successful,No
FT-T000131,FT-C00225,1/1/26 23:24,Cash Withdrawal,29531.01,Web,iOS,Lagos,No,Successful,Yes
FT-T000132,FT-C01470,1/1/26 23:34,Deposit,212239.49,Mobile App,Android,Abuja,No,Failed,No
FT-T000133,FT-C01341,1/1/26 23:45,Transfer,631.71,ATM,Android,Lagos,No,Successful,No
FT-T000134,FT-C01438,1/1/26 23:56,Cash Withdrawal,65041.73,POS,Web Browser,Enugu,No,Successful,Yes
FT-T000135,FT-C00095,1/2/26 0:07,Card Purchase,168519.4,Mobile App,Android,Enugu,No,Successful,Yes
FT-T000136,FT-C01249,1/2/26 0:18,Deposit,48787.73,POS,Web Browser,Kano,No,Successful,No
FT-T000137,FT-C00949,1/2/26 0:28,Transfer,8986.99,Mobile App,POS Terminal,Kaduna,No,Successful,No
FT-T000138,FT-C00553,1/2/26 0:39,Cash Withdrawal,12238.43,POS,Web Browser,Abuja,No,Successful,Yes
FT-T000139,FT-C00645,1/2/26 0:50,Airtime/Data,6821.79,Mobile App,Android,Ibadan,No,Successful,No
FT-T000140,FT-C00066,1/2/26 1:01,Card Purchase,11495.94,Mobile App,Web Browser,Port Harcourt,No,Successful,Yes
FT-T000141,FT-C01421,1/2/26 1:12,Bill Payment,32448.36,Mobile App,iOS,Lagos,No,Successful,Yes
FT-T000142,FT-C01234,1/2/26 1:22,Deposit,15834.35,POS,iOS,Kano,No,Successful,No
FT-T000143,FT-C01498,1/2/26 1:33,Transfer,8547.68,Web,Android,Ibadan,No,Reversed,No
FT-T000144,FT-C00665,1/2/26 1:44,Airtime/Data,10311.89,ATM,Android,Port Harcourt,No,Successful,No
FT-T000145,FT-C00684,1/2/26 1:55,Deposit,68637.89,POS,Android,Abuja,No,Successful,Yes
FT-T000146,FT-C00910,1/2/26 2:06,Transfer,99462.71,Mobile App,Web Browser,Kano,No,Successful,Yes
FT-T000147,FT-C00837,1/2/26 2:16,Card Purchase,87457.34,Mobile App,iOS,Kaduna,No,Successful,No
FT-T000148,FT-C00571,1/2/26 2:27,Cash Withdrawal,4281.85,ATM,Android,Port Harcourt,No,Successful,Yes
FT-T000149,FT-C00696,1/2/26 2:38,Deposit,7876.04,Mobile App,iOS,Kano,No,Successful,Yes
FT-T000150,FT-C00180,1/2/26 2:49,Transfer,18018.15,Mobile App,ATM Terminal,Ibadan,No,Successful,No
FT-T000151,FT-C00834,1/2/26 3:00,Bill Payment,69178.28,ATM,iOS,Kaduna,No,Successful,No
FT-T000152,FT-C01483,1/2/26 3:10,Transfer,146164.02,Mobile App,Web Browser,Enugu,No,Successful,No
FT-T000153,FT-C01092,1/2/26 3:21,Deposit,21516.62,Mobile App,Android,Ibadan,No,Successful,Yes
FT-T000154,FT-C01353,1/2/26 3:32,Bill Payment,10416.79,Mobile App,Web Browser,Lagos,No,Successful,No
FT-T000155,FT-C00202,1/2/26 3:43,Card Purchase,28577.65,Mobile App,iOS,Kaduna,No,Successful,No
FT-T000156,FT-C01499,1/2/26 3:54,Cash Withdrawal,17920.72,Web,Android,Ibadan,No,Successful,No
FT-T000157,FT-C01039,1/2/26 4:04,Deposit,1905.88,Mobile App,Web Browser,Abuja,No,Successful,No
FT-T000158,FT-C01066,1/2/26 4:15,Card Purchase,2864.69,Mobile App,Web Browser,Abuja,No,Successful,No
FT-T000159,FT-C00543,1/2/26 4:26,Bill Payment,643.47,POS,Web Browser,Enugu,No,Successful,No
FT-T000160,FT-C00982,1/2/26 4:37,Transfer,47633.74,POS,Android,Kano,No,Successful,No
FT-T000161,FT-C00774,1/2/26 4:48,Bill Payment,2983.33,POS,iOS,Kaduna,No,Successful,No
FT-T000162,FT-C01313,1/2/26 4:58,Bill Payment,25001.42,ATM,iOS,Abuja,No,Successful,No
FT-T000163,FT-C00694,1/2/26 5:09,Card Purchase,4687.28,Web,Android,Ibadan,No,Successful,No
FT-T000164,FT-C01268,1/2/26 5:20,Deposit,1348.04,Web,Android,Kaduna,No,Successful,No
FT-T000165,FT-C00612,1/2/26 5:31,Cash Withdrawal,8133.86,USSD,Android,Kaduna,No,Successful,No
FT-T000166,FT-C01198,1/2/26 5:42,Airtime/Data,389.27,POS,POS Terminal,Port Harcourt,No,Successful,No
FT-T000167,FT-C00244,1/2/26 5:52,Transfer,2148.01,ATM,iOS,Abuja,No,Successful,Yes
FT-T000168,FT-C00060,1/2/26 6:03,Transfer,6524.11,Web,Android,Ibadan,No,Successful,No
FT-T000169,FT-C00104,1/2/26 6:14,Deposit,607343.33,ATM,iOS,Benin City,No,Successful,No
FT-T000170,FT-C00651,1/2/26 6:25,Deposit,538878.87,Mobile App,Android,Ibadan,No,Successful,Yes
FT-T000171,FT-C01327,1/2/26 6:36,Card Purchase,51196.31,USSD,Android,Kaduna,No,Successful,No
FT-T000172,FT-C01011,1/2/26 6:46,Airtime/Data,459.74,Web,Android,Kano,No,Successful,No
FT-T000173,FT-C00077,1/2/26 6:57,Bill Payment,28628.18,Web,ATM Terminal,Kano,No,Successful,No
FT-T000174,FT-C01042,1/2/26 7:08,Airtime/Data,110.02,Mobile App,POS Terminal,Abuja,No,Successful,No
FT-T000175,FT-C01208,1/2/26 7:19,Card Purchase,430.2,Mobile App,Android,Kaduna,Yes,Successful,No
FT-T000176,FT-C01305,1/2/26 7:30,Transfer,147206.6,Mobile App,iOS,Abuja,No,Successful,No
FT-T000177,FT-C01312,1/2/26 7:40,Card Purchase,11082.96,Mobile App,Android,Ibadan,No,Successful,No
FT-T000178,FT-C00698,1/2/26 7:51,Airtime/Data,1017.53,Web,POS Terminal,Abuja,No,Successful,No
FT-T000179,FT-C01498,1/2/26 8:02,Card Purchase,34215.79,Mobile App,Android,Benin City,No,Successful,No
FT-T000180,FT-C00946,1/2/26 8:13,Airtime/Data,203.55,USSD,iOS,Port Harcourt,No,Successful,No
FT-T000181,FT-C00267,1/2/26 8:24,Deposit,6541.1,Mobile App,iOS,Enugu,No,Successful,No
FT-T000182,FT-C00781,1/2/26 8:34,Card Purchase,31515.77,Mobile App,iOS,Benin City,No,Failed,No
FT-T000183,FT-C00609,1/2/26 8:45,Card Purchase,1128.93,Web,Android,Lagos,No,Successful,No
FT-T000184,FT-C00946,1/2/26 8:56,Cash Withdrawal,27561.64,Mobile App,Web Browser,Lagos,No,Reversed,No
FT-T000185,FT-C01381,1/2/26 9:07,Cash Withdrawal,11843.22,POS,POS Terminal,Ibadan,No,Successful,No
FT-T000186,FT-C01025,1/2/26 9:18,Transfer,1980.62,Web,Android,Enugu,No,Successful,No
FT-T000187,FT-C01051,1/2/26 9:28,Airtime/Data,24987.24,Mobile App,Web Browser,Benin City,No,Successful,No
FT-T000188,FT-C00548,1/2/26 9:39,Cash Withdrawal,11075.64,Mobile App,ATM Terminal,Lagos,No,Successful,No
FT-T000189,FT-C00160,1/2/26 9:50,Airtime/Data,4132.86,Mobile App,Android,Ibadan,No,Successful,No
FT-T000190,FT-C00937,1/2/26 10:01,Cash Withdrawal,4043.61,Web,POS Terminal,Ibadan,No,Reversed,No
FT-T000191,FT-C00399,1/2/26 10:12,Card Purchase,2758.02,Mobile App,Android,Benin City,No,Failed,No
FT-T000192,FT-C00543,1/2/26 10:22,Cash Withdrawal,1310.57,ATM,Android,Kaduna,No,Successful,No
FT-T000193,FT-C00127,1/2/26 10:33,Deposit,23702.39,ATM,iOS,Enugu,No,Successful,No
FT-T000194,FT-C01009,1/2/26 10:44,Card Purchase,2723.68,POS,ATM Terminal,Port Harcourt,No,Successful,No
FT-T000195,FT-C00948,1/2/26 10:55,Airtime/Data,774.55,Mobile App,iOS,Kano,No,Successful,No
FT-T000196,FT-C00210,1/2/26 11:06,Card Purchase,89026.3,ATM,iOS,Abuja,No,Successful,No
FT-T000197,FT-C00150,1/2/26 11:16,Airtime/Data,7938.23,Mobile App,iOS,Port Harcourt,No,Failed,No
FT-T000198,FT-C00031,1/2/26 11:27,Deposit,20000.16,Web,ATM Terminal,Kano,No,Successful,Yes
FT-T000199,FT-C00612,1/2/26 11:38,Bill Payment,1407.6,Mobile App,iOS,Ibadan,No,Successful,No
FT-T000200,FT-C00302,1/2/26 11:49,Card Purchase,151691.37,Mobile App,Android,Benin City,No,Successful,No
FT-T000201,FT-C00963,1/2/26 12:00,Cash Withdrawal,1511.06,ATM,iOS,Benin City,No,Successful,No
FT-T000202,FT-C00865,1/2/26 12:10,Deposit,2439.13,POS,Android,Kaduna,No,Successful,No
FT-T000203,FT-C00765,1/2/26 12:21,Card Purchase,1690.89,Mobile App,iOS,Port Harcourt,No,Successful,Yes
FT-T000204,FT-C00683,1/2/26 12:32,Bill Payment,78590.2,Mobile App,ATM Terminal,Ibadan,No,Successful,No
FT-T000205,FT-C00257,1/2/26 12:43,Deposit,6215.08,USSD,Android,Kaduna,No,Successful,Yes
FT-T000206,FT-C00940,1/2/26 12:54,Card Purchase,6956.29,Mobile App,Android,Lagos,No,Successful,No
FT-T000207,FT-C01081,1/2/26 13:04,Card Purchase,39061.78,Mobile App,iOS,Benin City,No,Successful,No
FT-T000208,FT-C00009,1/2/26 13:15,Transfer,277977.54,Mobile App,POS Terminal,Ibadan,No,Failed,Yes
FT-T000209,FT-C01029,1/2/26 13:26,Transfer,30658.62,ATM,ATM Terminal,Lagos,No,Successful,Yes
FT-T000210,FT-C00847,1/2/26 13:37,Airtime/Data,1089.31,Web,iOS,Ibadan,Yes,Successful,Yes
FT-T000211,FT-C01138,1/2/26 13:48,Deposit,636603.07,Mobile App,iOS,Benin City,No,Successful,No
FT-T000212,FT-C00777,1/2/26 13:58,Transfer,597.39,ATM,ATM Terminal,Ibadan,No,Successful,No
FT-T000213,FT-C00685,1/2/26 14:09,Deposit,233138.63,Web,POS Terminal,Benin City,No,Successful,Yes
FT-T000214,FT-C00732,1/2/26 14:20,Transfer,3300.39,Web,iOS,Benin City,No,Successful,No
FT-T000215,FT-C01229,1/2/26 14:31,Card Purchase,55992.01,USSD,Android,Kano,No,Successful,No
FT-T000216,FT-C00024,1/2/26 14:42,Transfer,1506.78,Mobile App,iOS,Ibadan,No,Successful,No
FT-T000217,FT-C00493,1/2/26 14:52,Airtime/Data,863.08,POS,POS Terminal,Ibadan,No,Successful,No
FT-T000218,FT-C00970,1/2/26 15:03,Airtime/Data,141.6,POS,iOS,Ibadan,No,Successful,No
FT-T000219,FT-C01430,1/2/26 15:14,Cash Withdrawal,3010.8,Mobile App,ATM Terminal,Enugu,No,Successful,No
FT-T000220,FT-C00103,1/2/26 15:25,Card Purchase,14183.05,POS,Android,Abuja,No,Successful,No
FT-T000221,FT-C01084,1/2/26 15:36,Card Purchase,39146.16,ATM,iOS,Enugu,No,Successful,No
FT-T000222,FT-C01110,1/2/26 15:46,Bill Payment,62478.44,POS,iOS,Abuja,No,Reversed,No
FT-T000223,FT-C00767,1/2/26 15:57,Transfer,1128.63,ATM,iOS,Port Harcourt,No,Successful,Yes
FT-T000224,FT-C01023,1/2/26 16:08,Card Purchase,737.32,Mobile App,Web Browser,Kaduna,No,Successful,No
FT-T000225,FT-C00372,1/2/26 16:19,Bill Payment,72297.07,Web,ATM Terminal,Kano,No,Successful,No
FT-T000226,FT-C00679,1/2/26 16:30,Card Purchase,40282.34,Mobile App,POS Terminal,Benin City,No,Successful,No
FT-T000227,FT-C00596,1/2/26 16:41,Transfer,19657.43,Mobile App,Android,Abuja,No,Successful,No
FT-T000228,FT-C00202,1/2/26 16:51,Card Purchase,6331.94,ATM,iOS,Port Harcourt,No,Successful,No
FT-T000229,FT-C00089,1/2/26 17:02,Bill Payment,1153.13,USSD,Android,Port Harcourt,No,Successful,No
FT-T000230,FT-C00437,1/2/26 17:13,Airtime/Data,1056.14,ATM,iOS,Port Harcourt,No,Successful,No
FT-T000231,FT-C00120,1/2/26 17:24,Transfer,6305.72,POS,iOS,Kano,No,Successful,No
FT-T000232,FT-C00156,1/2/26 17:35,Card Purchase,18981.3,Mobile App,ATM Terminal,Benin City,No,Successful,No
FT-T000233,FT-C00399,1/2/26 17:45,Card Purchase,13834.7,ATM,POS Terminal,Lagos,No,Successful,Yes
FT-T000234,FT-C00188,1/2/26 17:56,Transfer,750.53,POS,iOS,Kano,No,Successful,No
FT-T000235,FT-C01076,1/2/26 18:07,Cash Withdrawal,108294.02,Mobile App,POS Terminal,Port Harcourt,No,Successful,No
FT-T000236,FT-C00652,1/2/26 18:18,Transfer,294247.89,Mobile App,iOS,Kaduna,No,Successful,Yes
